2019/10/23 11:42:14.079 [D]  init logger success!
2019/10/23 11:45:25.220 [D]  -----{dmesg Oct 20 03:32:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:32:18.177846339Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:25.225 [D]  pid:2 offset:51

2019/10/23 11:45:27.227 [D]  -----{dmesg Oct 20 03:32:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:32:18.177907468Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:27.234 [D]  pid:1 offset:59

2019/10/23 11:45:29.235 [D]  -----{dmesg Oct 20 03:35:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:35:18.178110376Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:29.244 [D]  pid:0 offset:45

2019/10/23 11:45:30.559 [E]  修改一个key的配置 [47 112 114 111 106 47 108 111 99 97 108 104 111 115 116 47 99 111 108 108 101 99 116 47 100 109 101 115 103]
2019/10/23 11:45:31.245 [D]  -----{dmesg Oct 20 03:35:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:35:18.178177939Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:31.254 [D]  pid:3 offset:60

2019/10/23 11:45:33.255 [D]  -----{dmesg Oct 20 03:38:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:38:18.178344404Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:33.264 [D]  pid:0 offset:46

2019/10/23 11:45:35.267 [D]  -----{dmesg Oct 20 03:38:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:38:18.178418178Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:35.274 [D]  pid:2 offset:52

2019/10/23 11:45:37.275 [D]  -----{dmesg Oct 20 03:40:01 172-18-8-178.youyuan-idc.com systemd: Started Session 47452 of user root.}
2019/10/23 11:45:37.283 [D]  pid:5 offset:53

2019/10/23 11:45:39.284 [D]  -----{dmesg Oct 20 03:40:01 172-18-8-178.youyuan-idc.com systemd: Starting Session 47452 of user root.}
2019/10/23 11:45:39.292 [D]  pid:2 offset:53

2019/10/23 11:45:41.294 [D]  -----{dmesg Oct 20 03:41:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:41:18.179200451Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:41.304 [D]  pid:1 offset:60

2019/10/23 11:45:43.305 [D]  -----{dmesg Oct 20 03:41:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:41:18.179264544Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:43.315 [D]  pid:3 offset:61

2019/10/23 11:45:45.316 [D]  -----{dmesg Oct 20 03:44:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:44:18.179548463Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:45.330 [D]  pid:6 offset:41

2019/10/23 11:45:47.331 [D]  -----{dmesg Oct 20 03:44:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:44:18.179651823Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:47.339 [D]  pid:6 offset:42

2019/10/23 11:45:49.341 [D]  -----{dmesg Oct 20 03:47:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:47:18.180152723Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:49.351 [D]  pid:2 offset:54

2019/10/23 11:45:51.352 [D]  -----{dmesg Oct 20 03:47:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:47:18.180220171Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:51.359 [D]  pid:1 offset:61

2019/10/23 11:45:53.361 [D]  -----{dmesg Oct 20 03:50:01 172-18-8-178.youyuan-idc.com systemd: Started Session 47453 of user root.}
2019/10/23 11:45:53.370 [D]  pid:3 offset:62

